"Time","Year",2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5,2021,2021.5,2022,2022.5,2023,2023.5,2024,2024.5,2025,2025.5,2026,2026.5,2027,2027.5,2028,2028.5,2029,2029.5,2030,2030.5,2031,2031.5,2032,2032.5,2033,2033.5,2034,2034.5,2035,2035.5,2036,2036.5,2037,2037.5,2038,2038.5,2039,2039.5,2040
"Agri wage","household",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Agri wage migrates","household/Year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antibiotic costs[Without disease]","vnd",1E+06
"Antibiotic costs[With disease]","vnd",0
"Available number of wage workers","people",1137.5,1138.31,1139.05,1139.73,1140.72,1142.26,1139.48,1126.45,1112.45,1096.44,1078.37,1038.45,984.976,911.853,810.982,742.08,683.493,631.394,586.467,549.209,519.294,495.736,477.501,463.217,451.919,439.89,416.269,402.84,394.71,388.234,382.813,375.817,358.16,348.957,344.245,340.955,338.534,334.726,321.702,315.825,313.635,312.404,311.708,309.528,299.15,294.605,293.015,292.126,291.604,289.768,280.882,276.963,275.565
"average shrimp farm savings[Small]",,1.476E+08,2.53804E+08,3.73307E+08,5.06002E+08,6.5255E+08,8.13201E+08,9.86212E+08,1.17099E+09,1.36803E+09,1.57687E+09,1.79655E+09,1.93998E+09,2.06957E+09,2.17998E+09,2.26211E+09,2.30994E+09,2.3247E+09,2.30425E+09,2.24683E+09,2.15121E+09,2.01675E+09,1.8432E+09,1.64337E+09,1.42016E+09,1.17702E+09,9.18241E+08,6.4858E+08,3.72528E+08,9.46158E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"average shrimp farm savings[Medium]",,1.476E+08,6.03587E+08,1.07216E+09,1.54948E+09,2.05007E+09,2.65125E+09,3.20717E+09,3.74859E+09,4.28659E+09,4.821E+09,5.35333E+09,5.48261E+09,5.58144E+09,5.82136E+09,5.8232E+09,5.67909E+09,5.41968E+09,5.0671E+09,4.62766E+09,4.10308E+09,3.49445E+09,2.80232E+09,2.09034E+09,1.36097E+09,6.69716E+08,3.08294E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"average shrimp farm savings[Large]",,3.52E+07,2.2897E+08,4.29689E+08,6.37329E+08,8.72018E+08,1.12606E+09,1.39384E+09,1.64374E+09,1.90041E+09,2.16383E+09,2.43397E+09,2.54118E+09,2.67807E+09,2.8035E+09,2.9021E+09,2.90449E+09,2.86871E+09,2.79348E+09,2.68374E+09,2.53865E+09,2.35737E+09,2.13909E+09,1.90989E+09,1.66447E+09,1.51201E+09,1.3701E+09,1.22467E+09,9.74178E+08,7.34704E+08,5.10405E+08,4.36944E+08,4.11809E+08,4.06627E+08,2.96531E+08,2.17854E+08,1.59858E+08,2.75123E+08,4.37372E+08,6.20221E+08,6.77557E+08,7.64238E+08,8.63963E+08,1.14643E+09,1.46386E+09,1.78395E+09,1.94048E+09,2.10854E+09,2.27009E+09,2.61507E+09,2.97764E+09,3.32207E+09,3.46538E+09,3.60311E+09
"Average wage worker income","vnd/people",2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07,2.4432E+07
"Base income for non agri households[Low skilled]","vnd/(person*Day)",190000
"Base income for non agri households[High skilled]","vnd/(person*Day)",210000
"Base income for service workers","vnd/(person*Day)",210000
"Chance farmer changes crops[Rice,Small]","dml",0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928,0.516928,0.516928,0.516928,0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928,0.526967,0.537005,0.526967,0.516928,0.516928,0.516928
"Chance farmer changes crops[Rice,Medium]","dml",0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058,0.0231058,0.0231058,0.0231058,0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058,0.116385,0.5,0.116385,0.0231058,0.0231058,0.0231058
"Chance farmer changes crops[Rice,Large]","dml",0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943,0.0614943,0.0614943,0.0614943,0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943,0.502852,0.553044,0.502852,0.0614943,0.0614943,0.0614943
"Chance farmer changes crops[Coconut,Small]","dml",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Chance farmer changes crops[Coconut,Medium]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer changes crops[Coconut,Large]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer changes crops[Maize,Small]","dml",0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742,0.508742,0.508742,0.508742,0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742,0.517527,0.526313,0.517527,0.508742,0.508742,0.508742
"Chance farmer changes crops[Maize,Medium]","dml",0.519033,0.519033,0.519033,0.545374,0.571714,0.545373,0.519033,0.519034,0.519035,0.519036,0.519037,0.545378,0.571719,0.545386,0.51906,0.519069,0.519078,0.519087,0.519097,0.519105,0.519113,0.51912,0.519126,0.545448,0.571766,0.545454,0.51915,0.519156,0.51916,0.545472,0.571782,0.545477,0.51918,0.519185,0.519188,0.545492,0.571795,0.545496,0.519204,0.519208,0.51921,0.545508,0.571805,0.54551,0.519222,0.519226,0.519227,0.545521,0.571814,0.545522,0.519239,0.519242,0.519244
"Chance farmer changes crops[Maize,Large]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer stops farming[Rice,Small]","dml",0,0,0,0,0,0.0096731,0.0236957,0.0387442,0.0695534,0.101865,0.260312,0.418759,0.671166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chance farmer stops farming[Rice,Medium]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer stops farming[Rice,Large]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer stops farming[Coconut,Small]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer stops farming[Coconut,Medium]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer stops farming[Coconut,Large]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance farmer stops farming[Maize,Small]","dml",0,0,0,0,0,0,0,9.44672E-05,0.00464025,0.00918604,0.0137318,0.0182776,0.0273919,0.0687613,0.103401,0.185225,0.267049,0.348873,0.430697,0.512522,0.594346,0.67617,0.757994,0.839818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chance farmer stops farming[Maize,Medium]","dml",0,0,0,0,0.0032862,0.0670208,0.355088,0.533239,0.711397,0.889564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chance farmer stops farming[Maize,Large]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance landless households migrate[Non agri hh,Low skilled]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance landless households migrate[Non agri hh,High skilled]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance landless households migrate[Agri wage hh,Normal]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chance landless households migrate[Service hh,Normal]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
